ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,B001KVZ6HK,LEXRANKSYSTEM1.TXT,0.63636,0.19626,0.30000,1
ROUGE-1,B001KVZ6HK,TEXTRANKSYSTEM4.TXT,0.54545,0.13534,0.21687,1
ROUGE-1,B001KVZ6HK,LSASYSTEM2.TXT,0.36364,0.04528,0.08054,1
ROUGE-1,B001KVZ6HK,SUMBASICSYSTEM3.TXT,0.57576,0.13014,0.21229,1
ROUGE-1,0793906091,TEXTRANKSYSTEM4.TXT,0.48014,0.46503,0.47247,1
ROUGE-1,0793906091,LSASYSTEM2.TXT,0.68592,0.50802,0.58372,1
ROUGE-1,0793906091,SUMBASICSYSTEM3.TXT,0.30686,0.42079,0.35491,1
ROUGE-1,0793906091,LEXRANKSYSTEM1.TXT,0.48375,0.57511,0.52549,1
ROUGE-1,B009934S5M,LSASYSTEM2.TXT,0.54000,0.09375,0.15976,1
ROUGE-1,B009934S5M,TEXTRANKSYSTEM4.TXT,0.70000,0.18325,0.29046,1
ROUGE-1,B009934S5M,LEXRANKSYSTEM1.TXT,0.72000,0.31034,0.43373,1
ROUGE-1,B009934S5M,SUMBASICSYSTEM3.TXT,0.66000,0.26190,0.37500,1
ROUGE-1,B003EYVXV4,TEXTRANKSYSTEM4.TXT,0.42188,0.12857,0.19708,1
ROUGE-1,B003EYVXV4,LEXRANKSYSTEM1.TXT,0.60938,0.23636,0.34061,1
ROUGE-1,B003EYVXV4,LSASYSTEM2.TXT,0.45312,0.06546,0.11440,1
ROUGE-1,B003EYVXV4,SUMBASICSYSTEM3.TXT,0.75000,0.31169,0.44037,1
ROUGE-1,B005LAIHXQ,SUMBASICSYSTEM3.TXT,0.78261,0.31579,0.45000,1
ROUGE-1,B005LAIHXQ,LEXRANKSYSTEM1.TXT,0.47826,0.07801,0.13415,1
ROUGE-1,B005LAIHXQ,LSASYSTEM2.TXT,0.47826,0.02607,0.04944,1
ROUGE-1,B005LAIHXQ,TEXTRANKSYSTEM4.TXT,0.56522,0.04377,0.08125,1
ROUGE-1,630575067X,LSASYSTEM2.TXT,0.48077,0.07062,0.12315,1
ROUGE-1,630575067X,TEXTRANKSYSTEM4.TXT,0.82692,0.33858,0.48045,1
ROUGE-1,630575067X,SUMBASICSYSTEM3.TXT,0.53846,0.31111,0.39437,1
ROUGE-1,630575067X,LEXRANKSYSTEM1.TXT,0.73077,0.28788,0.41304,1
ROUGE-1,B002VPE1AW,LEXRANKSYSTEM1.TXT,0.56897,0.19412,0.28947,1
ROUGE-1,B002VPE1AW,LSASYSTEM2.TXT,0.43103,0.07062,0.12136,1
ROUGE-1,B002VPE1AW,SUMBASICSYSTEM3.TXT,0.63793,0.35577,0.45679,1
ROUGE-1,B002VPE1AW,TEXTRANKSYSTEM4.TXT,0.51724,0.13953,0.21978,1
ROUGE-1,B00003CWT6,SUMBASICSYSTEM3.TXT,0.58904,0.36441,0.45026,1
ROUGE-1,B00003CWT6,LSASYSTEM2.TXT,0.34247,0.07331,0.12077,1
ROUGE-1,B00003CWT6,LEXRANKSYSTEM1.TXT,0.72603,0.34416,0.46696,1
ROUGE-1,B00003CWT6,TEXTRANKSYSTEM4.TXT,0.46575,0.17000,0.24908,1
ROUGE-1,B0000AQS0F,LSASYSTEM2.TXT,0.58462,0.09769,0.16740,1
ROUGE-1,B0000AQS0F,SUMBASICSYSTEM3.TXT,0.69231,0.42857,0.52941,1
ROUGE-1,B0000AQS0F,LEXRANKSYSTEM1.TXT,0.60000,0.23926,0.34211,1
ROUGE-1,B0000AQS0F,TEXTRANKSYSTEM4.TXT,0.52308,0.16114,0.24638,1
ROUGE-1,B0059XTU1S,LSASYSTEM2.TXT,0.53947,0.11081,0.18386,1
ROUGE-1,B0059XTU1S,LEXRANKSYSTEM1.TXT,0.67105,0.28022,0.39535,1
ROUGE-1,B0059XTU1S,SUMBASICSYSTEM3.TXT,0.53947,0.23563,0.32800,1
ROUGE-1,B0059XTU1S,TEXTRANKSYSTEM4.TXT,0.55263,0.19535,0.28866,1
